StudentID,Gender,Age,StudyProgram,StudyHoursPerWeek,Absences,MidtermScore,FinalScore,ParentEducation,FinalGrade
STU001,Female,20,Computer Science,12,2,78,85,Bachelor,Pass
STU002,Male,19,Business,8,5,65,70,High School,Pass
STU003,Female,21,Engineering,15,0,88,92,Master,Pass
STU004,Male,20,Arts,5,2,45,50,Bachelor,Fail
STU005,Female,22,Computer Science,20,1,95,98,PhD,Pass
STU006,Male,20,Business,10,3,70,72,High School,Pass
STU007,Female,19,Engineering,14,2,82,85,Bachelor,Pass
STU008,Male,21,Arts,6,8,55,85,Master,Fail
STU009,Female,20,Computer Science,11,4,75,78,High School,Pass
STU010,Male,19,Arts,9,1,68,74,Bachelor,Pass
STU011,Female,22,Engineering,18,0,91,95,PhD,Pass
STU012,Male,20,Arts,4,2,40,45,High School,Fail
STU013,Female,21,Computer Science,13,2,80,84,Master,Pass
STU014,Male,19,Business,7,6,60,65,Bachelor,Pass
STU015,Female,20,Engineering,16,2,85,89,High School,Pass
STU016,Male,22,Arts,5,10,50,55,Bachelor,Fail
STU017,Female,21,Computer Science,11,0,98,99,Master,Pass
STU018,Male,19,Business,11,2,72,76,PhD,Pass
STU019,Female,20,Engineering,15,3,84,88,Bachelor,Pass
STU020,Male,21,Arts,6,5,74,85,High School,Pass
STU021,Female,19,Computer Science,12,1,79,86,Bachelor,Pass
STU022,Male,22,Business,9,4,67,71,Master,Pass
STU023,Female,20,Engineering,14,2,81,87,High School,Pass
STU024,Male,21,Arts,5,2,42,48,Bachelor,Fail
STU025,Female,19,Computer Science,19,0,94,97,PhD,Pass
STU026,Male,20,Business,10,3,71,75,Bachelor,Pass
STU027,Female,21,Engineering,16,1,87,90,Master,Pass
STU028,Male,22,Arts,7,7,56,60,High School,Fail
STU029,Female,19,Computer Science,11,2,76,80,Bachelor,Pass
STU030,Male,20,Business,8,5,64,69,Master,Pass
STU031,Female,21,Engineering,17,0,90,94,PhD,Pass
STU032,Male,19,Arts,4,11,48,52,Bachelor,Fail
STU033,Female,20,Computer Science,13,3,82,85,High School,Pass
STU034,Male,22,Business,9,2,69,73,Bachelor,Pass
STU035,Female,21,Engineering,15,1,86,89,Master,Pass
STU036,Male,19,Arts,5,9,52,57,High School,Fail
STU037,Female,20,Computer Science,22,0,96,98,PhD,Pass
STU038,Male,21,Business,11,4,73,78,Bachelor,Pass
STU039,Female,22,Engineering,14,2,83,86,Master,Pass
STU040,Male,19,Arts,6,3,59,85,Bachelor,Pass
STU041,Female,20,Computer Science,12,2,77,83,High School,Pass
STU042,Male,21,Business,8,5,66,70,Bachelor,Pass
STU043,Female,19,Engineering,15,0,89,93,Master,Pass
STU044,Male,22,Arts,5,2,44,49,High School,Fail
STU045,Female,20,Arts,21,1,93,96,PhD,Pass
STU046,Male,21,Business,10,3,72,74,Bachelor,Pass
STU047,Female,19,Engineering,14,2,84,87,High School,Pass
STU048,Male,20,Arts,6,8,54,58,Master,Fail
STU049,Female,22,Computer Science,11,4,74,77,Bachelor,Pass
STU050,Male,21,Business,9,1,69,75,High School,Pass
STU051,Female,19,Engineering,18,0,92,96,PhD,Pass
STU052,Male,20,Arts,4,2,41,46,Bachelor,Fail
STU053,Female,21,Computer Science,13,2,81,85,Master,Pass
STU054,Male,22,Business,7,6,61,66,Bachelor,Pass
STU055,Female,19,Engineering,16,1,86,90,High School,Pass
STU056,Male,20,Arts,5,10,51,56,Bachelor,Fail
STU057,Female,21,Computer Science,20,0,97,99,Master,Pass
STU058,Male,19,Business,11,2,73,77,PhD,Pass
STU059,Female,22,Engineering,15,3,85,89,Bachelor,Pass
STU060,Male,20,Arts,6,5,57,62,High School,Pass
STU061,Female,21,Computer Science,12,1,78,85,Bachelor,Pass
STU062,Male,19,Business,9,4,68,72,Master,Pass
STU063,Female,20,Engineering,14,2,80,86,High School,Pass
STU064,Male,22,Arts,5,2,46,51,Bachelor,Fail
STU065,Female,21,Computer Science,19,0,95,98,PhD,Pass
STU066,Male,19,Business,10,3,70,73,Bachelor,Pass
STU067,Female,20,Engineering,16,1,88,91,Master,Pass
STU068,Male,21,Arts,7,7,55,59,High School,Fail
STU069,Female,22,Computer Science,11,2,77,81,Bachelor,Pass
STU070,Male,19,Business,8,5,65,70,Master,Pass
STU071,Female,20,Engineering,17,0,91,95,PhD,Pass
STU072,Male,21,Arts,4,11,47,53,Bachelor,Fail
STU073,Female,19,Computer Science,13,3,83,86,High School,Pass
STU074,Male,22,Business,9,2,68,72,Bachelor,Pass
STU075,Female,20,Engineering,15,1,87,90,Master,Pass
STU076,Male,21,Arts,5,9,53,58,High School,Fail
STU077,Female,19,Computer Science,22,0,97,99,PhD,Pass
STU078,Male,20,Business,11,4,74,79,Bachelor,Pass
STU079,Female,21,Arts,14,2,82,85,Master,Pass
STU080,Male,22,Arts,6,6,58,85,High School,Pass
STU081,Female,19,Computer Science,12,2,79,84,Bachelor,Pass
STU082,Male,20,Business,8,5,67,71,Master,Pass
STU083,Female,21,Engineering,15,0,88,92,High School,Pass
STU084,Male,22,Arts,5,2,45,50,Bachelor,Fail
STU085,Female,19,Computer Science,21,1,94,97,PhD,Pass
STU086,Male,20,Business,10,3,71,75,Bachelor,Pass
STU087,Female,21,Engineering,14,2,83,86,Master,Pass
STU088,Male,19,Arts,6,8,56,60,High School,Fail
STU089,Female,22,Computer Science,11,4,75,79,Bachelor,Pass
STU090,Male,20,Arts,9,1,70,76,Master,Pass
STU091,Female,21,Engineering,18,0,93,97,PhD,Pass
STU092,Male,19,Arts,4,2,42,47,Bachelor,Fail
STU093,Female,22,Computer Science,13,2,82,86,High School,Pass
STU094,Male,20,Business,7,6,62,67,Bachelor,Pass
STU095,Female,21,Engineering,16,1,87,91,Master,Pass
