StudentID,Gender,Age,StudyProgram,StudyHoursPerWeek,Absences,MidtermScore,FinalScore,ParentEducation,FinalGrade,Age_scaled,StudyHoursPerWeek_scaled,Absences_scaled,MidtermScore_scaled,FinalScore_scaled
STU001,Female,20,Computer Science,12,2,78,85,Bachelor,Pass,0.33333333333333304,0.4444444444444444,0.18181818181818182,0.6551724137931034,0.7272727272727273
STU002,Male,19,Business,8,5,65,70,High School,Pass,0.0,0.2222222222222222,0.4545454545454546,0.43103448275862055,0.4545454545454546
STU003,Female,21,Engineering,15,0,88,92,Master,Pass,0.666666666666667,0.611111111111111,0.0,0.8275862068965516,0.8545454545454545
STU004,Male,20,Arts,5,2,45,50,Bachelor,Fail,0.33333333333333304,0.05555555555555558,0.18181818181818182,0.08620689655172409,0.09090909090909094
STU005,Female,22,Computer Science,20,1,95,98,PhD,Pass,1.0,0.888888888888889,0.09090909090909091,0.9482758620689655,0.9636363636363636
STU006,Male,20,Business,10,3,70,72,High School,Pass,0.33333333333333304,0.33333333333333337,0.2727272727272727,0.5172413793103448,0.49090909090909096
STU007,Female,19,Engineering,14,2,82,85,Bachelor,Pass,0.0,0.5555555555555555,0.18181818181818182,0.7241379310344827,0.7272727272727273
STU008,Male,21,Arts,6,8,55,85,Master,Fail,0.666666666666667,0.1111111111111111,0.7272727272727273,0.2586206896551724,0.7272727272727273
STU009,Female,20,Computer Science,11,4,75,78,High School,Pass,0.33333333333333304,0.38888888888888884,0.36363636363636365,0.603448275862069,0.6000000000000001
STU010,Male,19,Arts,9,1,68,74,Bachelor,Pass,0.0,0.2777777777777778,0.09090909090909091,0.482758620689655,0.5272727272727273
STU011,Female,22,Engineering,18,0,91,95,PhD,Pass,1.0,0.7777777777777778,0.0,0.8793103448275861,0.9090909090909092
STU012,Male,20,Arts,4,2,40,45,High School,Fail,0.33333333333333304,0.0,0.18181818181818182,0.0,0.0
STU013,Female,21,Computer Science,13,2,80,84,Master,Pass,0.666666666666667,0.5,0.18181818181818182,0.6896551724137931,0.709090909090909
STU014,Male,19,Business,7,6,60,65,Bachelor,Pass,0.0,0.16666666666666663,0.5454545454545454,0.3448275862068966,0.36363636363636354
STU015,Female,20,Engineering,16,2,85,89,High School,Pass,0.33333333333333304,0.6666666666666666,0.18181818181818182,0.7758620689655171,0.8
STU016,Male,22,Arts,5,10,50,55,Bachelor,Fail,1.0,0.05555555555555558,0.9090909090909092,0.17241379310344818,0.18181818181818188
STU017,Female,21,Computer Science,11,0,98,99,Master,Pass,0.666666666666667,0.38888888888888884,0.0,1.0,0.9818181818181817
STU018,Male,19,Business,11,2,72,76,PhD,Pass,0.0,0.38888888888888884,0.18181818181818182,0.5517241379310345,0.5636363636363637
STU019,Female,20,Engineering,15,3,84,88,Bachelor,Pass,0.33333333333333304,0.611111111111111,0.2727272727272727,0.7586206896551724,0.7818181818181817
